Var,Price,Year,Mileage,Color,City_La_
1,17995,2016,33220,WHITE,LA
2,17980,2017,44492,WHITE,LA
3,16995,2017,60221,BLUE,LA
4,16992,2017,50671,BLUE,LA
5,16991,2017,54061,BLUE,LA
6,16991,2017,48914,WHITE,LA
7,16991,2017,38527,WHITE,LA
8,16980,2017,55196,GOLD,LA
9,16889,2017,23089,GOLD,LA
10,15995,2017,50092,SILVER,LA
11,15995,2015,76230,GOLD,LA
12,15995,2017,57004,BLUE,LA
13,15991,2017,48591,WHITE,LA
14,15980,2016,61074,SILVER,LA
15,15888,2016,51979,BLUE,LA
16,15495,2017,51706,GRAY,LA
17,15291,2017,76688,BLACK,LA
18,14995,2015,35200,BLUE,LA
19,14991,2017,16154,BLACK,LA
20,14980,2017,79118,GRAY,LA
21,14280,2016,50880,GREEN,LA
22,14000,2016,63000,BLACK,LA
23,13993,2017,70422,BLUE,LA
24,13993,2016,69791,SILVER,LA
25,13991,2015,57889,SILVER,LA
26,13888,2017,49557,GRAY,LA
27,13580,2015,51542,GREEN,LA
28,13180,2016,58800,BLUE,LA
29,12995,2016,68250,SILVER,LA
30,12994,2016,75925,GOLD,LA
31,12795,2016,94082,SILVER,LA
32,12450,2015,80737,GOLD,LA
33,11894,2016,75061,SILVER,LA
34,10991,2015,118031,GREEN,LA
35,10987,2015,113888,GRAY,LA
36,10680,2016,148463,BLUE,LA
37,9999,2017,70753,BLACK,LA
38,9998,2017,53534,GOLD,LA
39,9993,2014,113931,GOLD,LA
40,9988,2015,89431,RED,LA
41,8999,2014,61407,GRAY,LA
42,8995,2016,60799,SILVER,LA
43,8900,2016,99985,SILVER,LA
44,8900,2016,81594,SILVER,LA
45,8900,2016,116540,RED,LA
46,7995,2014,61300,WHITE,LA
47,6990,2014,89618,BLACK,LA
48,18995,2017,59306,WHITE,LA
49,17998,2017,41037,SILVER,LA
50,17995,2017,43231,BLUE,LA
51,17995,2016,57934,GREEN,LA
52,17990,2016,33870,SILVER,LA
53,16998,2017,25493,SILVER,LA
54,16995,2016,40021,SILVER,LA
55,16995,2017,60943,BLACK,LA
56,16900,2017,43399,WHITE,LA
57,15999,2017,55000,BLACK,LA
58,15998,2016,15343,GRAY,LA
59,15998,2017,42756,GREEN,LA
60,15995,2017,53820,WHITE,LA
61,15995,2016,38287,WHITE,LA
62,15995,2016,46997,WHITE,LA
63,15995,2017,58578,BLUE,LA
64,15995,2017,64258,BLACK,LA
65,15995,2017,58901,GREEN,LA
66,15940,2017,38480,BLUE,LA
67,15000,2017,95000,SILVER,LA
68,14999,2015,47142,GRAY,LA
69,14998,2015,88093,GOLD,LA
70,14998,2017,52101,BLUE,LA
71,14995,2017,52251,SILVER,LA
72,14995,2017,63098,GRAY,LA
73,14995,2015,68000,BLACK,LA
74,14991,2016,5822,SILVER,LA
75,14991,2017,45710,SILVER,LA
76,14988,2017,58404,GRAY,LA
77,14985,2017,63447,SILVER,LA
